,CSE101-SEC1-SPR-2020,32,1416455,,8.8,26,,24,,,B,N,Y,Y,Y,Y,N
,CSE101-SEC1-SPR-2020,32,1579288,,7,18.4,,23,,,B,N,N,Y,Y,N,Y
,CSE101-SEC1-SPR-2020,32,1528882,,5.2,12,,6,,,B,N,N,N,N,Y,Y
,CSE101-SEC1-SPR-2020,32,1653725,,0,0,,0,,,B+,N,N,N,N,Y,Y
,CSE101-SEC1-SPR-2020,32,1625654,,8,12.8,,24,,,B,N,N,N,Y,Y,Y
,CSE101-SEC1-SPR-2020,32,1669953,,1,0,,0,,,B,N,N,N,N,N,N
,CSE101-SEC1-SPR-2020,32,1665555,,6.6,16.8,,27,,,C+,N,Y,N,Y,N,Y
,CSE101-SEC1-SPR-2020,32,1616161,,13.8,20,,0,,,C-,Y,Y,N,N,Y,N
,CSE101-SEC1-SPR-2020,32,1633554,,6,0,,0,,,B,N,Y,N,N,Y,Y
,CSE101-SEC1-SPR-2020,32,1645333,,17.8,20.4,,23,,,B+,Y,Y,N,Y,Y,Y
,CSE101-SEC1-SPR-2020,32,1691291,,5.8,21.6,,30,,,B-,N,N,N,Y,N,Y
,CSE101-SEC1-SPR-2020,32,1662147,,5,9.2,,9,,,B,N,N,N,N,Y,N
,CSE101-SEC1-SPR-2020,32,1691483,,7,12,,6,,,C,N,Y,N,N,Y,Y
,CSE101-SEC1-SPR-2020,32,1674181,,7.6,14,,11,,,C-,N,N,N,N,Y,Y
,CSE101-SEC1-SPR-2020,32,1641252,,24.8,24.8,,34,,,C+,Y,Y,Y,Y,N,N
,CSE101-SEC1-SPR-2020,32,1695837,,11,21.2,,24,,,B,Y,N,Y,Y,Y,Y
,CSE101-SEC1-SPR-2020,32,1613273,,4,15.2,,12,,,B,N,Y,N,Y,N,Y
,CSE101-SEC1-SPR-2020,32,1612985,,8.4,20,,12,,,B+,N,Y,Y,Y,Y,N
,CSE101-SEC1-SPR-2020,32,1623112,,9.8,18,,12,,,C,N,Y,N,Y,Y,Y
,CSE101-SEC1-SPR-2020,32,1668314,,0,24,,11,,,C+,N,N,Y,N,N,N
,CSE101-SEC1-SPR-2020,32,1622731,,0,0,,0,,,C,N,N,N,N,Y,Y
,CSE101-SEC1-SPR-2020,32,1696326,,7.2,24,,12,,,B,N,Y,Y,Y,N,N
